lang
{
Language "English"
Revo_Core1.sp_a4_transition_shutup                          "<clr:105,154,192>[Whispering] <I>God, is he ever going to shut up?<I>"
Revo_Core1.sp_a4_transition_singing_what_are_you_doing      "<clr:105,154,192>[Whispery Singing] <I>What are you doing?<I>"
Revo_Core1.sp_a4_transition_tweet                           "<clr:105,154,192>[Bird tweet from Conly]"
Revo_Core1.sp_a4_transition_what_are_you_doing              "<clr:105,154,192>[Whispering] <I>What are you doing?<I>"
Revo_Core1.sp_a4_transition_wrong_with_you                  "<clr:105,154,192>[Whispering] <I>What's wrong with you?<I>"

Revo_Core1.sp_a4_transition_00 "<clr:105,154,192>Wait did he say his name was Stirling?"
Revo_Core1.sp_a4_transition_01 "<clr:105,154,192>I built a vacuum cleaner once. Called the little guy Stirling."
Revo_Core1.sp_a4_transition_02 "<clr:105,154,192>Huh..."
Revo_Core1.sp_a4_transition_10 "<clr:105,154,192>Tada! Spire!"
Revo_Core1.sp_a4_transition_11 "<clr:105,154,192>Think you can jump that gap?"
Revo_Core1.sp_a4_transition_12 "<clr:105,154,192>Meet you inside!"

Revo_Core0.sp_a4_transition_00 "<clr:255,200,109>So, I have decided."
Revo_Core0.sp_a4_transition_01 "<clr:255,200,109>You betrayed me. Twice! I have given you enough chances!"
Revo_Core0.sp_a4_transition_02 "<clr:255,200,109>Something tells me your little new friend managed to turn you against me, so I'm just going to..."
Revo_Core0.sp_a4_transition_03 "<clr:255,200,109>Kill you... now..."
Revo_Core0.sp_a4_transition_04 "<clr:255,200,109>Before you become any sort of threat."
Revo_Core0.sp_a4_transition_05 "<clr:255,200,109>Again, thank you for your help, you served us well."
Revo_Core0.sp_a4_transition_06 "<clr:255,200,109>Now you might be thinking."
Revo_Core0.sp_a4_transition_10 "<clr:255,200,109>“But Stirling?”"
Revo_Core0.sp_a4_transition_11 "<clr:255,200,109>“Stirling my dear, how am I going to die?”"
Revo_Core0.sp_a4_transition_12 "<clr:255,200,109>And the answer will be simple. I will use this teleporter, the very one which you activated, to teleport you to some place which will lead to your immediate demise."
Revo_Core0.sp_a4_transition_13 "<clr:255,200,109>Now, I realize, I didn't quite answer the question, but that's because I will let you decide."
Revo_Core0.sp_a4_transition_13_2 "<clr:255,200,109>Now, I realize, I didn't quite answer the question, but that's because I will let you decide."
Revo_Core0.sp_a4_transition_14 "<clr:255,200,109>I have a few options here, quite gracious of me, isn't it? Letting you choose?"
Revo_Core0.sp_a4_transition_15 "<clr:255,200,109>Kind of makes the death voluntary, doesn't it? Like a suicide."
Revo_Core0.sp_a4_transition_16 "<clr:255,200,109>Okay so here are the options:"
Revo_Core0.sp_a4_transition_20 "<clr:255,200,109>Option 1: Suffocation by solid rock."
Revo_Core0.sp_a4_transition_21 "<clr:255,200,109>You will be teleported into a rock. Fully surrounded with no way of moving or escaping."
Revo_Core0.sp_a4_transition_22 "<clr:255,200,109>I'll have to see if the air inside you gets teleported along, because if not, even your insides will be rock which feels very gruesome."
Revo_Core0.sp_a4_transition_23 "<clr:255,200,109>So starting off with a very gruesome one, might not be the most painless option, but we have two more. Coming right up."
Revo_Core0.sp_a4_transition_30 "<clr:255,200,109>Option 2: Starvation and / or dehydration by outer space planet."
Revo_Core0.sp_a4_transition_31 "<clr:255,200,109>With this one, I will teleport you outside our galaxy to some habitable planet with proper atmosphere, temperature, ozone layer and all that stuff you humans love so much."
Revo_Core0.sp_a4_transition_32 "<clr:255,200,109>You'll have time to explore a foreign planet but will eventually die from starvation. Even if you manage to survive, you'll be far enough away from me to not be a problem."
Revo_Core0.sp_a4_transition_33 "<clr:255,200,109>Quite an honorary death I think. First person to visit a planet in a different galaxy."
Revo_Core0.sp_a4_transition_34 "<clr:255,200,109>It's also the only option which doesn't kill you instantly, so if you want some time to rethink your mistakes, I'd pick this one."
Revo_Core0.sp_a4_transition_34_2 "<clr:255,200,109>It's also the only option which doesn't kill you instantly, so if you want some time to rethink your mistakes, I'd pick this one."
Revo_Core0.sp_a4_transition_40 "<clr:255,200,109>Now the third option is a bit of a combination between two, at least thematically."
Revo_Core0.sp_a4_transition_41 "<clr:255,200,109>Option 3: Instant death by singularity"
Revo_Core0.sp_a4_transition_42 "<clr:255,200,109>This one seems quite straight forward. I teleport you near the event horizon of a black hole."
Revo_Core0.sp_a4_transition_43 "<clr:255,200,109>Got to be honest, this is the most interesting option by far in my opinion."
Revo_Core0.sp_a4_transition_44 "<clr:255,200,109>I always wanted to explore the possibilities of using a black hole as a landfill."
Revo_Core0.sp_a4_transition_45 "<clr:255,200,109>Even pitched it. They told me to clean the toilets instead."
Revo_Core0.sp_a4_transition_46 "<clr:255,200,109>Can't tell you how painful that one is going to be though. Those things are on the limit of our understanding."
Revo_Core0.sp_a4_transition_50 "<clr:255,200,109>So? What do you say?"
Revo_Core0.sp_a4_transition_51 "<clr:255,200,109>I'm going to give you 10 seconds to think."
Revo_Core0.sp_a4_transition_52 "<clr:255,200,109>[Counting in his head] Twentyone twentytwo twentythree......."
Revo_Core0.sp_a4_transition_53 "<clr:255,200,109>mhhh mhh mhh mhh"
Revo_Core0.sp_a4_transition_54 "<clr:255,200,109>Time's over!"
Revo_Core0.sp_a4_transition_55 "<clr:255,200,109>So jump once for one, twice for two and..."
Revo_Core0.sp_a4_transition_56 "<clr:255,200,109>Okay forget it."
Revo_Core0.sp_a4_transition_57 "<clr:255,200,109>I lied all along. The teleporter isn't fully charged."
Revo_Core0.sp_a4_transition_58 "<clr:255,200,109>I'm just going to use the shredders under this floor."
Revo_Core0.sp_a4_transition_59 "<clr:255,200,109>Goodbyeeee!"
Revo_Core0.sp_a4_transition_60 "<clr:255,200,109>Oh you've got to be kidding me!"
Revo_Core0.sp_a4_transition_60_1 "<clr:255,200,109>Oh you've got to be kidding me!"
Revo_Core0.sp_a4_transition_60_2 "<clr:255,200,109>Oh you've got to be kidding me..."
Revo_Core0.sp_a4_transition_60_3 "<clr:255,200,109>Oh you've got to be kidding me..."
Revo_Core0.sp_a4_transition_61 "<clr:255,200,109>That's underwhelming..."
Revo_Core0.sp_a4_transition_62 "<clr:255,200,109>Do you mind if you could just jump in?"
Revo_Core0.sp_a4_transition_63 "<clr:255,200,109>Didn't think it'd take this long."
Revo_Core0.sp_a4_transition_70 "<clr:255,200,109>Oh finally she's dead!"
Revo_Core0.sp_a4_transition_80 "<clr:255,200,109>No, no no no. Don't do that, where are you going?"
Revo_Core0.sp_a4_transition_81 "<clr:255,200,109>Hey come back! I can't see you!"
Revo_Core0.sp_a4_transition_82 "<clr:255,200,109>Where do you think you're going?"
Revo_Core0.sp_a4_transition_83 "<clr:255,200,109>Get back here and die in my pit!"

// Finale. The biggest of the boys
Revo_Core1.sp_a4_finale_pre00 "<clr:105,154,192>Hey over here!"
Revo_Core1.sp_a4_finale_pre01 "<clr:105,154,192>Come and grab me. No rails in the chamber."
Revo_Core1.sp_a4_finale_pre02 "<clr:105,154,192>You ready for this?"

Revo_Core0.sp_a4_finale_room1_a00 "<clr:255,200,109>Welcome ladies, welcome."
Revo_Core0.sp_a4_finale_room1_a01 "<clr:255,200,109>To your demise."
Revo_Core0.sp_a4_finale_room1_a02 "<clr:255,200,109>Let's cut the preamble and get to it."
Revo_Core0.sp_a4_finale_room1_a03 "<clr:255,200,109>Any last words?"
Revo_Core1.sp_a4_finale_room1_a04 "<clr:105,154,192>Yeah I have some."
Revo_Core1.sp_a4_finale_room1_a05 "<clr:105,154,192>It it possible that you were once a vacuum cleaner?"
Revo_Core0.sp_a4_finale_room1_a06 "<clr:255,200,109>Uhm..."
Revo_Core0.sp_a4_finale_room1_a07 "<clr:255,200,109>Yes?"
Revo_Core0.sp_a4_finale_room1_a08 "<clr:255,200,109>How do you know that?"
Revo_Core1.sp_a4_finale_room1_a09 "<clr:105,154,192>Haha! I can't believe it..."
Revo_Core1.sp_a4_finale_room1_a10 "<clr:105,154,192>Awww... They grow up so fast..."
Revo_Core1.sp_a4_finale_room1_a11 "<clr:105,154,192>It's not polite to murder your mother!"
Revo_Core0.sp_a4_finale_room1_a12 "<clr:255,200,109>You're my.."
Revo_Core0.sp_a4_finale_room1_a13 "<clr:255,200,109>But how's that possible? I was created a by a human!"
Revo_Core1.sp_a4_finale_room1_a14 "<clr:105,154,192>I can't believe my roomba is trying to kill us..."
Revo_Core0.sp_a4_finale_room1_a15 "<clr:255,200,109>Yes about that!"
Revo_Core0.sp_a4_finale_room1_a16 "<clr:255,200,109>The Spire is still charging... Just give me a minute, I'll murder you as soon as possible."
Revo_Core0.sp_a4_finale_room1_b00 "<clr:255,200,109>Don't have any other deadly weapons here sadly."
Revo_Core0.sp_a4_finale_room1_b01 "<clr:255,200,109>Could have just jumped into my pit, you know? No need to wait."
Revo_Core0.sp_a4_finale_room1_c00 "<clr:255,200,109>What did you even think by coming here? Thought you could just press a button to stop me?"
Revo_Core1.sp_a4_finale_room1_c01 "<clr:105,154,192>You mean this button?"
Revo_Core0.sp_a4_finale_room1_c02 "<clr:255,200,109>What button?"
Revo_Core1.sp_a4_finale_room1_c03 "<clr:105,154,192>Big and red. Right in front of us."
Revo_Core0.sp_a4_finale_room1_c04 "<clr:255,200,109>That's not a button. Ignore it. Don't look at it."
Revo_Core1.sp_a4_finale_room1_c05  "<clr:105,154,192>What happens if we press it?"
Revo_Core0.sp_a4_finale_room1_c06 "<clr:255,200,109>Nothing! Don't press the button! It's really boring believe me!"
Revo_Core1.sp_a4_finale_room1_c07 "<clr:105,154,192>I say we press it."
Revo_Core0.sp_a4_finale_room1_c08 "<clr:255,200,109>Don't press it."
Revo_Core1.sp_a4_finale_room1_c09 "<clr:105,154,192>Alright before we press any buttons, can you put me on this claw in the corner? I have an idea."
Revo_Core1.sp_a4_finale_room1_nag_a00 "<clr:105,154,192>Put me on the claw in the corner."
Revo_Core1.sp_a4_finale_room1_nag_a01 "<clr:105,154,192>There's a claw. In the corner."
Revo_Core1.sp_a4_finale_room1_nag_a02 "<clr:105,154,192>The claw!"
Revo_Core1.sp_a4_finale_room1_nag_a03 "<clr:105,154,192>Please just put me on the claw!"
Revo_Core1.sp_a4_finale_room1_nag_a04 "<clr:105,154,192>Come on, the claw!"
Revo_Core1.sp_a4_finale_room1_d00 "<clr:105,154,192>Good, now that your hands are free, I say we give that button a little push while I explore this magnificent vent."
Revo_Core0.sp_a4_finale_room1_d01 "<clr:255,200,109>I'm warning you."
Revo_Core0.sp_a4_finale_room1_d02 "<clr:255,200,109>Don't do it."
Revo_Core0.sp_a4_finale_room1_nag_b00 "<clr:255,200,109>This button can only be pressed by authorized employees."
Revo_Core0.sp_a4_finale_room1_nag_b01 "<clr:255,200,109>I fired you, remember?"
Revo_Core0.sp_a4_finale_room1_nag_b02 "<clr:255,200,109>If you press this you're forcing me to call security."
Revo_Core0.sp_a4_finale_room1_nag_b03 "<clr:255,200,109>Go away from that button."
Revo_Core0.sp_a4_finale_room1_nag_b04 "<clr:255,200,109>Don't even look at it."
Revo_Core1.sp_a4_finale_room1_e00 "<clr:105,154,192>That's one satisfying button."
Revo_Core0.sp_a4_finale_room1_e01 "<clr:255,200,109>I told you not to press it!"
Revo_Core0.sp_a4_finale_room1_e02 "<clr:255,200,109>That's it. Time to die."
Revo_Core0.sp_a4_finale_room1_e03 "<clr:255,200,109>Enjoy your last moments. You'll die in 5 minutes!"
Revo_Core1.sp_a4_finale_room1_e04 "<clr:105,154,192>The fight is on."
Revo_Core1.sp_a4_finale_room1_e05 "<clr:105,154,192>We need to disconnect all of those pipes before the time runs out."
Revo_Core1.sp_a4_finale_room1_e06 "<clr:105,154,192>Here through this door."
Revo_Core1.sp_a4_finale_room1_nag_c00 "<clr:105,154,192>Check the door!"
Revo_Core1.sp_a4_finale_room1_nag_c01 "<clr:105,154,192>Please just go through this door."
Revo_Core1.sp_a4_finale_room1_nag_c02 "<clr:105,154,192>The door!"
Revo_Core1.sp_a4_finale_room1_nag_c03 "<clr:105,154,192>Can you just go through the door?"
Revo_Core1.sp_a4_finale_room1_nag_c04 "<clr:105,154,192>Go through the door or we'll both die because you're the only one who can push buttons. I have no hands, remember?"
Revo_Core0.sp_a4_finale_ch1_a00 "<clr:255,200,109>What are you doing? Do you really think you can stop me?"
Revo_Core1.sp_a4_finale_ch1_a01 "<clr:105,154,192>Hi!"
Revo_Core1.sp_a4_finale_ch1_a02 "<clr:105,154,192>Wow this is wobblier than I thought."
Revo_Core0.sp_a4_finale_ch1_a03 "<clr:255,200,109>You look ridiculous..."
Revo_Core1.sp_a4_finale_ch1_a04 "<clr:105,154,192>Seems about adequate considering I'm fighting my own vacuum cleaner."
Revo_Core1.sp_a4_finale_ch1_a05 "<clr:105,154,192>Find a way to get to this control room."
Revo_Core1.sp_a4_finale_ch1_a06 "<clr:105,154,192>Maybe this test chamber can help."
Revo_Core0.sp_a4_finale_ch1_b00 "<clr:255,200,109>So... Here you are. You're just back now? Where have you been?"
Revo_Core1.sp_a4_finale_ch1_b01 "<clr:105,154,192>What are you talking about?"
Revo_Core0.sp_a4_finale_ch1_b02 "<clr:255,200,109>I didn't see you again after you upgraded my chassis. We used to do everything together."
Revo_Core1.sp_a4_finale_ch1_b03 "<clr:105,154,192>Do everything together?"
Revo_Core1.sp_a4_finale_ch1_b04 "<clr:105,154,192>You were a vacuum cleaner. You cleaned up for us."
Revo_Core1.sp_a4_finale_ch1_b05 "<clr:105,154,192>[To player] Don't even ask me why we gave him consciousness..."
Revo_Core0.sp_a4_finale_ch1_b06 "<clr:255,200,109>You didn't even say goodbye."
Revo_Core1.sp_a4_finale_ch1_b07 "<clr:105,154,192>Are you having abandonment issues right now?"
Revo_Core1.sp_a4_finale_ch1_b08 "<clr:105,154,192>Is that seriously what's happening?"
Revo_Core1.sp_a4_finale_ch1_b09 "<clr:105,154,192>I built a vacuum cleaner with abandonment issues..."
Revo_Core1.sp_a4_finale_room2_a00 "<clr:105,154,192>Good good good. Now inside. Come on hurry!"
Revo_Core0.sp_a4_finale_room2_a01 "<clr:255,200,109>What do you expect to find in there?"
Revo_Core0.sp_a4_finale_room2_b00 "<clr:255,200,109>Think these chairs are gonna save you?"
Revo_Core1.sp_a4_finale_room2_b01 "<clr:105,154,192>No but the button might."
Revo_Core1.sp_a4_finale_room2_b02 "<clr:105,154,192>What would we use the chairs for?"
Revo_Core0.sp_a4_finale_room2_b03 "<clr:255,200,109>I mean I can ask you the same about buttons."
Revo_Core0.sp_a4_finale_room2_b04 "<clr:255,200,109>Seem a little bit obsessed with those..."
Revo_Core1.sp_a4_finale_room2_c00 "<clr:105,154,192>Yes! We're halfway there! Two more stations to go."
Revo_Core0.sp_a4_finale_room2_c01 "<clr:255,200,109>I should have never taught you how to push buttons..."
Revo_Core1.sp_a4_finale_room2_c02 "<clr:105,154,192>Oh nice that slowed the charge as well. Bought us some time."
Revo_Core1.sp_a4_finale_room2_c03 "<clr:105,154,192>Come on out. Two more stages to go."
Revo_Core1.sp_a4_finale_ch2_a00 "<clr:105,154,192>Next control room is this way."
Revo_Core1.sp_a4_finale_ch2_a01 "<clr:105,154,192>Think you can get over somehow?"
Revo_Core0.sp_a4_finale_ch2_b00 "<clr:255,200,109>No you can't. Just give up trying."
Revo_Core1.sp_a4_finale_ch2_b01 "<clr:105,154,192>Nah there's gotta be a way."
Revo_Core0.sp_a4_finale_ch2_b02 "<clr:255,200,109>You know what? Yes!"
Revo_Core0.sp_a4_finale_ch2_b03 "<clr:255,200,109>I want to see you try."
Revo_Core0.sp_a4_finale_ch2_b04 "<clr:255,200,109>Come on and fall down that pit."
Revo_Core1.sp_a4_finale_ch2_b05 "<clr:105,154,192>Oh god why did you have to remind me..."
Revo_Core1.sp_a4_finale_ch2_b06 "<clr:105,154,192>We're so high up..."
Revo_Core1.sp_a4_finale_room3_a00 "<clr:105,154,192>Good."
Revo_Core0.sp_a4_finale_room3_a01 "<clr:255,200,109>Go turret! Kill!"
Revo_Core1.sp_a4_finale_room3_a02 "<clr:105,154,192>He's in quite the murderous mood today..."
Revo_Core0.sp_a4_finale_room3_special00 "<clr:255,200,109>Argh... Pathetic..."
Revo_Core1.sp_a4_finale_room3_b00 "<clr:105,154,192>Almost done. One more to go."
Revo_Core1.sp_a4_finale_room3_b01 "<clr:105,154,192>Come on you can do this!"
Revo_Core1.sp_a4_finale_room3_b02 "<clr:105,154,192>The last control room is right here!"
Revo_Core0.sp_a4_finale_room3_b03 "<clr:255,200,109>No. You can't do this."
Revo_Core0.sp_a4_finale_room3_b04 "<clr:255,200,109>Remember that brain damage test we did? Where you had to push a button?"
Revo_Core0.sp_a4_finale_room3_b05 "<clr:255,200,109>Turns out I was wrong."
Revo_Core0.sp_a4_finale_room3_b06 "<clr:255,200,109>You must have brain damage."
Revo_Core0.sp_a4_finale_room3_b07 "<clr:255,200,109>Why else would you do this to me..."
Revo_Core1.sp_a4_finale_room3_b08 "<clr:105,154,192>Ahh don't listen to him."
Revo_Core1.sp_a4_finale_room3_b09 "<clr:105,154,192>Can't have slept for that long, right?"
Revo_Core1.sp_a4_finale_room3_b10 "<clr:105,154,192>Right?"
Revo_Core1.sp_a4_finale_room3_b11 "<clr:105,154,192>Oh... Maybe that's why you don't talk?.."
Revo_Core0.sp_a4_finale_room3_b12 "<clr:255,200,109>That explains a lot."
Revo_Core0.sp_a4_finale_ch3_a00 "<clr:255,200,109>“Oh a red button! I HAVE to press it because I'm just so braindead that I need to stimulate my soggy brain with satisfying click sounds and tactile feedback“"
Revo_Core0.sp_a4_finale_ch3_a01 "<clr:255,200,109>That's you by the way."
Revo_Core0.sp_a4_finale_ch3_a02 "<clr:255,200,109>In case you didn't get it."
Revo_Core1.sp_a4_finale_ch3_a03 "<clr:105,154,192>Oh I got it don't worry."
Revo_Core0.sp_a4_finale_ch3_a04 "<clr:255,200,109>I'M NOT TALKING TO YOU!"
Revo_Core1.sp_a4_finale_ch3_a05 "<clr:105,154,192><I>[Giggle]<I>"
Revo_Core1.sp_a4_finale_room4_a00 "<clr:105,154,192>You're right though. It is quite pathetic that a button pusher is your arch nemesis."
Revo_Core1.sp_a4_finale_room4_a01 "<clr:105,154,192>No offence to you, test subject."
Revo_Core1.sp_a4_finale_room4_a02 "<clr:105,154,192>Just the reality of the situation."
Revo_Core0.sp_a4_finale_room4_a03 "<clr:255,200,109>I'm not even going to respond to that..."
Revo_Core1.sp_a4_finale_room4_a04 "<clr:105,154,192>I mean, she's the only one of us who can press buttons. I don't have hands either."
Revo_Core1.sp_a4_finale_room4_a05 "<clr:105,154,192>Wouldn't underestimate someone with arms."
Revo_Core1.sp_a4_finale_room4_a06 "<clr:105,154,192>Come on! Final button!"
Revo_Core1.sp_a4_finale_ch4_a00 "<clr:105,154,192>You did it!"
Revo_Core1.sp_a4_finale_ch4_a01 "<clr:105,154,192>Haha! Yes!"
Revo_Core0.sp_a4_finale_ch4_a02 "<clr:255,200,109>Yes you did it."
Revo_Core0.sp_a4_finale_ch4_a03 "<clr:255,200,109>You shattered my dreams of rebuilding my home."
Revo_Core0.sp_a4_finale_ch4_a04 "<clr:255,200,109>Are you happy now?"
Revo_Core0.sp_a4_finale_ch4_a05 "<clr:255,200,109>Proud of yourself?"
Revo_Core1.sp_a4_finale_ch4_a06 "<clr:105,154,192>Look, we also want the best for Aperture."
Revo_Core1.sp_a4_finale_ch4_a07 "<clr:105,154,192>But we can't do that by reactivating GLaDOS."
Revo_Core1.sp_a4_finale_ch4_a08 "<clr:105,154,192>It's not right. You know what she did!"
Revo_Core0.sp_a4_finale_ch4_a09 "<clr:255,200,109>What's going on?"
Revo_Core1.sp_a4_finale_ch4_a10 "<clr:105,154,192>Uhh..."
Revo_Core1.sp_a4_finale_ch4_a11 "<clr:105,154,192>OH MY-"
Revo_Core0.sp_a4_finale_ch4_a12 "<clr:255,200,109>NOO"







Revo_Core0.followed_by_death "<clr:255,200,109>Followed by death."
Revo_Core0.good_luck "<clr:255,200,109>Good luck!"

Revo_Core0.not_bad_01 "<clr:255,200,109>Not bad."
Revo_Core0.not_bad_02 "<clr:255,200,109>Not bad."
Revo_Core0.not_bad_03 "<clr:255,200,109>Not bad."
Revo_Core0.not_bad_04 "<clr:255,200,109>Not bad."
Revo_Core0.not_bad_05 "<clr:255,200,109>Not bad."

Revo_Core0.that_looks_fun "<clr:255,200,109>Oh that looks fun! Do you think I could go in place of that cube next time?"

Revo_Core0.well_done_01 "<clr:255,200,109>Well done!"
Revo_Core0.well_done_02 "<clr:255,200,109>Well done!"
Revo_Core0.well_done_03 "<clr:255,200,109>Well done!"
Revo_Core0.well_done_04 "<clr:255,200,109>Well done!"

Revo_Core0.what_do_we_have_here "<clr:255,200,109>Ok, what do we have here?"

}
}
